"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 04:47:24 UTC 2023","Thu Jun 22 04:47:28 UTC 2023","4482","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Jun 22 04:55:30 UTC 2023","Thu Jun 22 04:55:35 UTC 2023","4928","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Jun 22 04:10:47 UTC 2023","Thu Jun 22 04:10:52 UTC 2023","5096","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Jun 22 04:11:19 UTC 2023","Thu Jun 22 04:11:44 UTC 2023","25014","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Jun 22 04:09:31 UTC 2023","Thu Jun 22 04:10:21 UTC 2023","49373","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Jun 22 04:58:04 UTC 2023","Thu Jun 22 04:58:08 UTC 2023","3483","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Jun 22 04:50:07 UTC 2023","Thu Jun 22 04:50:24 UTC 2023","17445","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Jun 22 04:17:01 UTC 2023","Thu Jun 22 04:17:19 UTC 2023","18924","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jun 22 04:23:06 UTC 2023","Thu Jun 22 04:23:46 UTC 2023","40466","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Jun 22 04:48:00 UTC 2023","Thu Jun 22 04:48:03 UTC 2023","3517","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jun 22 04:47:47 UTC 2023","Thu Jun 22 04:48:00 UTC 2023","12342","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Jun 22 04:48:34 UTC 2023","Thu Jun 22 04:48:34 UTC 2023","547","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Jun 22 04:11:00 UTC 2023","Thu Jun 22 04:11:21 UTC 2023","20786","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Jun 22 04:58:29 UTC 2023","Thu Jun 22 04:58:55 UTC 2023","25224","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Jun 22 04:57:46 UTC 2023","Thu Jun 22 04:58:04 UTC 2023","18648","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Jun 22 04:46:02 UTC 2023","Thu Jun 22 04:46:10 UTC 2023","7747","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Jun 22 04:48:14 UTC 2023","Thu Jun 22 04:48:31 UTC 2023","16761","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Jun 22 04:12:26 UTC 2023","Thu Jun 22 04:12:31 UTC 2023","5505","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Jun 22 04:40:40 UTC 2023","Thu Jun 22 04:40:42 UTC 2023","1801","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Jun 22 04:49:22 UTC 2023","Thu Jun 22 04:49:26 UTC 2023","3595","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jun 22 04:09:44 UTC 2023","Thu Jun 22 04:10:00 UTC 2023","16147","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Jun 22 04:09:29 UTC 2023","Thu Jun 22 04:09:32 UTC 2023","2898","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Jun 22 04:47:11 UTC 2023","Thu Jun 22 04:47:24 UTC 2023","12889","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jun 22 04:19:54 UTC 2023","Thu Jun 22 04:20:05 UTC 2023","11327","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Jun 22 04:09:57 UTC 2023","Thu Jun 22 04:10:17 UTC 2023","19597","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Jun 22 04:22:26 UTC 2023","Thu Jun 22 04:22:27 UTC 2023","1596","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Jun 22 04:18:06 UTC 2023","Thu Jun 22 04:18:14 UTC 2023","8326","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Jun 22 04:37:23 UTC 2023","Thu Jun 22 04:37:27 UTC 2023","3657","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Thu Jun 22 04:09:12 UTC 2023","Thu Jun 22 04:09:25 UTC 2023","13591","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Jun 22 04:50:37 UTC 2023","Thu Jun 22 04:50:41 UTC 2023","4283","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Jun 22 04:09:38 UTC 2023","Thu Jun 22 04:09:41 UTC 2023","2782","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Jun 22 04:50:27 UTC 2023","Thu Jun 22 04:50:29 UTC 2023","2240","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Jun 22 04:11:44 UTC 2023","Thu Jun 22 04:11:49 UTC 2023","4899","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jun 22 04:50:34 UTC 2023","Thu Jun 22 04:50:37 UTC 2023","2478","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Jun 22 04:40:22 UTC 2023","Thu Jun 22 04:40:40 UTC 2023","18053","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Jun 22 04:13:15 UTC 2023","Thu Jun 22 04:13:34 UTC 2023","18632","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Jun 22 04:17:32 UTC 2023","Thu Jun 22 04:17:57 UTC 2023","25735","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Jun 22 04:17:29 UTC 2023","Thu Jun 22 04:17:32 UTC 2023","3006","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Jun 22 04:37:27 UTC 2023","Thu Jun 22 04:38:09 UTC 2023","42388","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Jun 22 04:09:36 UTC 2023","Thu Jun 22 04:10:15 UTC 2023","38608","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jun 22 04:13:34 UTC 2023","Thu Jun 22 04:13:39 UTC 2023","5364","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Jun 22 04:10:15 UTC 2023","Thu Jun 22 04:10:25 UTC 2023","9529","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Jun 22 04:48:03 UTC 2023","Thu Jun 22 04:48:04 UTC 2023","546","","6. Company Account","","","","9. Review Final Review",""
"skipped","Thu Jun 22 04:10:17 UTC 2023","Thu Jun 22 04:10:17 UTC 2023","6","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Jun 22 04:10:52 UTC 2023","Thu Jun 22 04:11:00 UTC 2023","7907","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Thu Jun 22 04:46:01 UTC 2023","Thu Jun 22 04:46:09 UTC 2023","8094","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Thu Jun 22 04:11:15 UTC 2023","Thu Jun 22 04:11:19 UTC 2023","4193","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Jun 22 04:37:14 UTC 2023","Thu Jun 22 04:37:23 UTC 2023","8386","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Jun 22 04:55:35 UTC 2023","Thu Jun 22 04:55:44 UTC 2023","8808","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Jun 22 04:47:46 UTC 2023","Thu Jun 22 04:47:47 UTC 2023","1822","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Jun 22 04:22:05 UTC 2023","Thu Jun 22 04:22:21 UTC 2023","16108","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Jun 22 04:46:59 UTC 2023","Thu Jun 22 04:47:08 UTC 2023","9754","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Jun 22 04:38:14 UTC 2023","Thu Jun 22 04:38:20 UTC 2023","5420","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Jun 22 04:55:47 UTC 2023","Thu Jun 22 04:55:48 UTC 2023","601","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Jun 22 04:41:31 UTC 2023","Thu Jun 22 04:42:30 UTC 2023","58649","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Jun 22 04:22:27 UTC 2023","Thu Jun 22 04:23:03 UTC 2023","35672","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jun 22 04:17:58 UTC 2023","Thu Jun 22 04:18:06 UTC 2023","7852","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
